Timestamp,CUSIP,Bid,Ask
2023-12-24 20:11:26.436,9128283H1,98-316,99-002
2023-12-24 20:11:26.443,9128283H1,98-317,99-003
2023-12-24 20:11:26.454,9128283H1,99-001,99-003
2023-12-24 20:11:26.458,9128283H1,99-001,99-005
2023-12-24 20:11:26.461,9128283H1,99-002,99-006
2023-12-24 20:11:26.463,9128283H1,99-004,99-006
2023-12-24 20:11:26.469,9128283H1,99-004,99-010
2023-12-24 20:11:26.470,9128283H1,99-006,99-010
2023-12-24 20:11:26.482,9128283H1,99-006,99-012
2023-12-24 20:11:26.492,9128283H1,99-010,99-012
2023-12-24 20:11:26.508,9128283H1,99-011,99-013
2023-12-24 20:11:26.523,9128283H1,99-012,99-014
2023-12-24 20:11:26.535,9128283H1,99-013,99-015
2023-12-24 20:11:26.538,9128283H1,99-013,99-017
2023-12-24 20:11:26.545,9128283H1,99-014,99-020
2023-12-24 20:11:26.552,9128283H1,99-016,99-020
2023-12-24 20:11:26.566,9128283H1,99-016,99-022
2023-12-24 20:11:26.575,9128283H1,99-020,99-022
2023-12-24 20:11:26.577,9128283H1,99-021,99-023
2023-12-24 20:11:26.592,9128283H1,99-022,99-024
2023-12-24 20:11:26.604,9128283H1,99-023,99-025
2023-12-24 20:11:26.619,9128283H1,99-023,99-027
2023-12-24 20:11:26.636,9128283H1,99-024,99-030
2023-12-24 20:11:26.644,9128283H1,99-026,99-030
2023-12-24 20:11:26.650,9128283H1,99-027,99-031
2023-12-24 20:11:26.654,9128283H1,99-027,99-033
2023-12-24 20:11:26.672,9128283H1,99-031,99-033
2023-12-24 20:11:26.674,9128283H1,99-032,99-034
2023-12-24 20:11:26.678,9128283H1,99-032,99-036
2023-12-24 20:11:26.694,9128283H1,99-033,99-037
2023-12-24 20:11:26.708,9128283H1,99-035,99-037
2023-12-24 20:11:26.716,9128283H1,99-035,99-041
2023-12-24 20:11:26.729,9128283H1,99-037,99-041
2023-12-24 20:11:26.742,9128283H1,99-037,99-043
2023-12-24 20:11:26.757,9128283H1,99-041,99-043
2023-12-24 20:11:26.764,9128283H1,99-042,99-044
2023-12-24 20:11:26.765,9128283H1,99-042,99-046
2023-12-24 20:11:26.776,9128283H1,99-044,99-046
2023-12-24 20:11:26.784,9128283H1,99-044,99-050
2023-12-24 20:11:26.785,9128283H1,99-045,99-051
2023-12-24 20:11:26.795,9128283H1,99-047,99-051
2023-12-24 20:11:26.804,9128283H1,99-047,99-053
2023-12-24 20:11:26.813,9128283H1,99-050,99-054
2023-12-24 20:11:26.815,9128283H1,99-052,99-054
2023-12-24 20:11:26.820,9128283H1,99-053,99-055
2023-12-24 20:11:26.828,9128283H1,99-053,99-057
2023-12-24 20:11:26.831,9128283H1,99-054,99-060
2023-12-24 20:11:26.836,9128283H1,99-056,99-060
2023-12-24 20:11:26.839,9128283H1,99-056,99-062
2023-12-24 20:11:26.853,9128283H1,99-057,99-063
2023-12-24 20:11:26.862,9128283H1,99-061,99-063
2023-12-24 20:11:26.872,9128283H1,99-062,99-064
2023-12-24 20:11:26.891,9128283H1,99-063,99-065
2023-12-24 20:11:26.898,9128283H1,99-063,99-067
2023-12-24 20:11:26.902,9128283H1,99-065,99-067
2023-12-24 20:11:26.909,9128283H1,99-066,99-070
2023-12-24 20:11:26.920,9128283H1,99-066,99-072
2023-12-24 20:11:26.933,9128283H1,99-070,99-072
2023-12-24 20:11:26.952,9128283H1,99-070,99-074
2023-12-24 20:11:26.954,9128283H1,99-071,99-075
2023-12-24 20:11:26.960,9128283H1,99-072,99-076
2023-12-24 20:11:26.972,9128283H1,99-073,99-077
2023-12-24 20:11:26.983,9128283H1,99-075,99-077
2023-12-24 20:11:26.990,9128283H1,99-075,99-081
2023-12-24 20:11:26.991,9128283H1,99-077,99-081
2023-12-24 20:11:27.011,9128283H1,99-077,99-083
2023-12-24 20:11:27.014,9128283H1,99-080,99-084
2023-12-24 20:11:27.022,9128283H1,99-082,99-084
2023-12-24 20:11:27.027,9128283H1,99-083,99-085
2023-12-24 20:11:27.037,9128283H1,99-084,99-086
2023-12-24 20:11:27.052,9128283H1,99-085,99-087
2023-12-24 20:11:27.061,9128283H1,99-086,99-090
2023-12-24 20:11:27.078,9128283H1,99-087,99-091
2023-12-24 20:11:27.090,9128283H1,99-087,99-093
2023-12-24 20:11:27.092,9128283H1,99-090,99-094
2023-12-24 20:11:27.097,9128283H1,99-092,99-094
2023-12-24 20:11:27.114,9128283H1,99-092,99-096
2023-12-24 20:11:27.116,9128283H1,99-093,99-097
2023-12-24 20:11:27.121,9128283H1,99-095,99-097
2023-12-24 20:11:27.122,9128283H1,99-095,99-101
2023-12-24 20:11:27.124,9128283H1,99-096,99-102
2023-12-24 20:11:27.130,9128283H1,99-100,99-102
2023-12-24 20:11:27.134,9128283H1,99-100,99-104
2023-12-24 20:11:27.151,9128283H1,99-101,99-105
2023-12-24 20:11:27.156,9128283H1,99-102,99-106
2023-12-24 20:11:27.162,9128283H1,99-103,99-107
2023-12-24 20:11:27.178,9128283H1,99-104,99-110
2023-12-24 20:11:27.187,9128283H1,99-105,99-111
2023-12-24 20:11:27.193,9128283H1,99-106,99-112
2023-12-24 20:11:27.196,9128283H1,99-110,99-112
2023-12-24 20:11:27.200,9128283H1,99-111,99-113
2023-12-24 20:11:27.203,9128283H1,99-111,99-115
2023-12-24 20:11:27.223,9128283H1,99-113,99-115
2023-12-24 20:11:27.243,9128283H1,99-114,99-116
